citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	times0	times1	times2	times3	times4	times5	times6	times7	region0	region1	region2	region3	region4	region5	region6	region7	country0	country1	country2	country3	country4	country5	country6	country7	lat0	lat1	lat2	lat3	lat4	lat5	lat6	lat7	lon0	lon1	lon2	lon3	lon4	lon5	lon6	lon7
Huambo, Angola	8647.5	0	9.8	0	1	8647.56842217676								9.8								Indiana								United States								64.56265417012436								4.697195838479445							
Dengtalu, Henan, China	8061.5	0	9.9	0	1	8061.584173187663								9.933333333333334								Indiana								United States								45.909766272099056								-143.09152917300952							
Gdańsk, Poland	7298.7	0	9.7	1.7	1	7298.737121823358								9.700000000000001								Indiana								United States								51.81219797455555								-110.2735575507669							
Port Louis, Mauritius	6580.7	4421.9	4.5	1.8	3	9646.02044538021	327.55542920892754	9768.754099643189						5.300000000000017	6.26666666666668	1.9333333333333615						England	England	England						United Kingdom	United Kingdom	United Kingdom						28.200553509203164	-21.289925293674468	16.135583922326955						-17.1040724327122	54.58823529411765	-24					
Benin City, Nigeria	6375.4	6128.5	8.3	1.6	2	246.96955077408623	12503.999939487185							6.766666666666678	10							Central Region	Bavaria							Uganda	Germany							5.877277555986316	32.741148040005804							7.804621752570654	-116.26890551142331						
Cochabamba, Bolivia	4389.7	2674.7	5.7	0.4	3	2661.2304147861105	2340.2319506357962	8167.886916682043						6.133333333333347	5.100000000000017	6.000000000000014						England	England	England						United Kingdom	United Kingdom	United Kingdom						5.5514898383633975	3.6354371056704653	30.163182453080594						-59.33634995910735	-66.3529411764706	-8					
Mandalay, Burma	4382.1	4004.8	4.6	1	3	9858.899091385945	394.03431445837805	2893.59369771097						5.366666666666683	5.500000000000016	3.1333333333333577						England	England	England						United Kingdom	United Kingdom	United Kingdom						31.602421861811067	23.66034516411302	-1.0746623627209537						-6.546003051113416	92.70588235294116	108.47058823529414					
Morādābād, Uttar Pradesh, India	4375.1	4983.6	5.3	2.8	3	1123.1445364614474	586.036497761263	11416.204488706302						5.43333333333335	1.900000000000028	8.766666666666671						England	England	England						United Kingdom	United Kingdom	United Kingdom						19.10667484514994	24.732284236707684	27.692016996047087						81.70955882352939	75.05882352941177	-46.117647058823536					
Jos, Nigeria	4256.3	3598.1	6.2	0.7	3	3416.7603957849446	329.75519699125783	9022.567250970744						6.300000000000013	7.233333333333343	5.300000000000017						England	England	England						United Kingdom	United Kingdom	United Kingdom						-10.385235338527435	8.784533353802386	9.24741120593243						32.06636497301929	6.117647058823536	-73.6470588235294					
Almaty, Kazakhstan	3384.2	0	7.6	0	1	3384.228635176295								7.633333333333342								California								United States								48.806078147208								33.12990188598633							
Harbin, Heilongjiang, China	2145.5	0	8.3	5.3	1	2145.505634929445								8.300000000000006								California								United States								27.4811922722946								118.8235294117647							
Casablanca, Morocco	2131.9	1900.4	4.6	0.1	2	4032.357834078039	231.4932013943922							4.433333333333353	4.8000000000000185							England	England							United Kingdom	United Kingdom							32.07605512738107	33.1712886232582							35.82720588235293	-5.176470588235304						
Tbilisi, Georgia	2014.5	0	5.8	0	1	2014.5753447291695								5.866666666666681								Trentino-Alto Adige								Italy								37.37406352283564								67.67869366438379							
Curitiba, Paraná, Brazil	1963.5	684.9	6.6	0.4	3	1006.2094335170576	2313.6741994507433	2570.6354860787796						6.833333333333345	7.20000000000001	6.033333333333347						England	Central Region	Bavaria						United Kingdom	Uganda	Germany						-18.856891697739197	-7.881713019635063	-2.3245460628406707						-42.58823529411765	-37.57352950793356	-50.38655257024686					
Oran, Algeria	1941.8	0	6.4	1.2	1	1941.8452073507187								6.400000000000013								California								United States								28.65587946838896								18.306372474221632							
Cần Thơ, Vietnam	1940.7	1696.5	4.9	0.7	3	1340.9734445886504	4252.523143922782	228.85435295476358						4.166666666666687	5.933333333333348	4.8000000000000185						England	England	England						United Kingdom	United Kingdom	United Kingdom						16.866822749539043	36.07580119024975	12.027018012970283						95.53308823529414	136.70588235294116	106.35294117647061					
Porto, Porto, Portugal	1879.4	2859	5.9	0.6	4	294.48365597940176	173.37613234141494	6831.024496003672	219.1					5.366666666666683	7.000000000000011	5.2666666666666835	6.1					England	England	England	California					United Kingdom	United Kingdom	United Kingdom	United States					38.51448449378756	39.61010214094359	12.944477941446555	39.181					-8.959276052621703	-8.941176470588232	54.58823529411765	-8.517				
Amman, Jordan	1838.9	252.5	2.7	2.6	2	1586.4387196909652	2091.4431167490843							5.400000000000016	0.13333333333335884							England	England							United Kingdom	United Kingdom							40.820084622112994	16.361689017646306							22.003676470588232	47.529411764705884						
Davao, Philippines	1793.4	842.2	1.7	0.6	3	1904.8672867969933	710.7816875201248	2764.7754424746154						2.53333333333336	1.666666666666694	0.9000000000000253						England	England	England						United Kingdom	United Kingdom	United Kingdom						-8.465161446781016	12.48500488414267	31.580155287537146						118.47426470588238	122.11764705882354	130.3529411764706					
Ch’ŏngjin, Korea, North	1663.2	1195.3	4.3	1.6	3	367.46278469294094	3251.372126708981	1370.7811652949367						6.566666666666679	2.6333333333333595	3.7333333333333556						England	England	England						United Kingdom	United Kingdom	United Kingdom						39.91799406937344	20.606625350518065	50.38543066108474						126.18401203184283	105.88235294117646	142.58823529411762					
Taipei, Taiwan	1529.6	0	10	0	1	1529.6149372813552								10								Indiana								United States								37.46882372901682								114.65270479987652							
Yichun, Heilongjiang, China	1515.4	644	6.6	0.2	2	2159.476947371924	871.3484486105765							6.933333333333344	6.433333333333346							England	Central Region							United Kingdom	Uganda							31.980559546913373	41.92512744620741							113.88235294117646	121.41806713072191						
Naha, Japan	1468	364.5	6.2	1.1	3	959.5477782260434	1649.0922150192278	1795.514869814003						7.266666666666676	6.833333333333345	4.733333333333352						England	England	England						United Kingdom	United Kingdom	United Kingdom						34.13803410870571	38.143426929252094	39.24444999396957						131.61387628523647	138.11764705882354	139.05882352941177					
Al Manşūrah, Egypt	1430.4	1697.3	6.8	0.2	3	264.0408463255761	196.77112376849823	3830.6598197989642						7.10000000000001	6.433333333333346	6.966666666666677						England	England	England						United Kingdom	United Kingdom	United Kingdom						29.785073187836296	29.347395117906164	31.578148869702577						29.04977372113393	30.823529411764696	-9.176470588235304					
Manila, Philippines	1421.6	780.6	4.6	1	3	2525.6794559873706	864.0681890649042	875.1564313132724						5.033333333333351	5.7333333333333485	3.200000000000024						England	England	England						United Kingdom	United Kingdom	United Kingdom						7.351575572800613	8.318746523872713	8.54938211396247						99.03469076487448	125.64705882352939	126.11764705882354					
Aleppo, Syria	1421.6	1179.9	4.1	1.3	3	1122.6191907407358	149.51693052251966	2992.9556082370405						5.933333333333348	4.0333333333333545	2.53333333333336						England	England	England						United Kingdom	United Kingdom	United Kingdom						42.194435314432475	35.120238185252084	38.141574635323536						26.636500719625644	36.23529411764707	71.05882352941177					
Padang, Sumatera Barat, Indonesia	1416.1	0	5.5	0	1	1416.1805977684803								5.566666666666682								England								United Kingdom								-7.932757463720033								111.0567067056204							
Port Elizabeth, South Africa	1352.4	908	5.2	0.6	3	915.2592068310468	525.3226861746418	2616.7518000294504						5.23333333333335	6.100000000000014	4.5000000000000195						England	England	England						United Kingdom	United Kingdom	United Kingdom						-25.825575730641297	-30.186941747922365	-13.202950871869351						24.223227718117386	28.941176470588232	13.411764705882348					
Córdoba, Argentina	1325.6	543.3	5	2.1	6	1953.0696228432062	815.9310572437125	2146.5781172613756	719.2	1261.9	1057.5			4.9666666666666845	1.8000000000000278	2.9333333333333584	8	6.9	5.4			England	England	England	England	England	England			United Kingdom	United Kingdom	United Kingdom	United Kingdom	United Kingdom	United Kingdom			-48.68737701190319	-38.71842264383093	-19.745980303674823	-37.364	-42.643	-40.71			-68.2904411764706	-63.529411764705884	-47.05882352941177	-61.146	-66.117	-66.588		
Atlanta, Georgia, United States	1269.2	1307.7	3.1	2	3	562.4468472508845	3102.7787541708144	142.5647032694209						3.46666666666669	0.40000000000002545	5.43333333333335						England	England	England						United Kingdom	United Kingdom	United Kingdom						35.978335086152086	56.41079417028266	33.1712886232582						-78.87867647058823	-108.23529411764706	-83.05882352941177					
Castries, Saint Lucia	1264.6	627.8	2.4	2	3	1005.0436269111368	659.068059695191	2129.702378319412						1.0666666666666922	0.8333333333333587	5.366666666666683						England	England	England						United Kingdom	United Kingdom	United Kingdom						19.384612788986583	19.053639657006336	25.37447484761122						-68.5845588235294	-64.23529411764706	-77.41176470588235					
Jilin, Jilin, China	1223.7	0	5.6	0	1	1223.7166939172298								5.633333333333349								California								United States								36.199959568411096								116.1887254153981							
Mangalore, Karnātaka, India	1223.4	266.2	6	1	3	1598.9439362897172	1012.1079206764565	1059.3082905859083						5.700000000000015	7.500000000000009	5.033333333333351						England	England	England						United Kingdom	United Kingdom	United Kingdom						26.861864395133953	20.82690952512695	22.357559679526908						78.52187025205399	79.52941176470586	73.64705882352942					
Rio de Janeiro, Rio de Janeiro, Brazil	1214.5	836.8	6.7	1	3	2397.7924116801337	644.4273661182277	601.42059433381						7.500000000000009	5.200000000000017	7.466666666666676						England	England	England						United Kingdom	United Kingdom	United Kingdom						-1.3842668340067859	-24.11399854627378	-17.516683126612094						-44.253393699680515	-49.41176470588235	-43.29411764705881					
Tongliao, Inner Mongolia, China	1147.7	0	6.2	0	1	1147.7279606275663								6.26666666666668								England								United Kingdom								38.11622424280422								110.7002004667612							
Makassar, Sulawesi Selatan, Indonesia	1094.8	92.7	4.2	2.2	3	963.9589511465451	1167.1845162100317	1153.3067419480215						4.100000000000021	7.10000000000001	1.6333333333333606						England	England	England						United Kingdom	United Kingdom	United Kingdom						1.9365591555091766	-6.241264466834752	-3.19268396297896						114.4193061494899	108.94117647058823	129.6470588235294					
Juárez, Chihuahua, Mexico	1047.6	0	6.6	0	1	1047.646495033906								6.633333333333345								California								United States								22.281911393300376								-105.92892164342544							
Liaoyang, Liaoning, China	1046.5	525.2	6.9	0.6	4	1053.5815257170334	1235.9523411690498	1672.3720591173787	224.4					6.133333333333347	6.933333333333344	6.633333333333345	8					England	England	England	North Carolina					United Kingdom	United Kingdom	United Kingdom	United States					32.6253586864545	31.178023501312556	46.48161404919588	39.335					118.3408747769409	117.41176470588238	103.52941176470586	122.47				
Zhuzhou, Hunan, China	1027.1	152.2	2.7	2	3	1195.7764617073722	1058.6672956978614	826.9451610222978						5.666666666666682	1.1666666666666925	1.3000000000000262						England	England	England						United Kingdom	United Kingdom	United Kingdom						30.058929432593796	36.07580119024975	30.976313657942622						101.12132352941177	107.52941176470586	105.41176470588238					
Dakar, Senegal	997.2	0	7.3	9.7	1	997.266763224607								7.30000000000001								England								United Kingdom								9.307170007956044								-10.155414506500847							
Jackson, Mississippi, United States	992.2	435.7	4.7	1.4	3	968.0070176300808	471.0434271251325	1537.5664866912678						5.43333333333335	6.2000000000000135	2.733333333333359						England	England	England						United Kingdom	United Kingdom	United Kingdom						40.14917860971359	36.4574732478394	45.334568305633766						-94.93212673135473	-91.29411764705883	-96.23529411764706					
Port Said, Egypt	913.6	1269.3	6.7	1.1	4	485.283668976091	60.363138787780024	3089.4217605146077	19.5					6.16666666666668	6.633333333333345	5.600000000000016	8.6					England	England	England	North Carolina					United Kingdom	United Kingdom	United Kingdom	United States					27.399294502179128	31.780574120294702	6.4480191810298235	31.176					29.954751096699567	32.470588235294116	45.64705882352942	32.47				
Kyiv, Ukraine	884.1	951.5	5.6	1.2	3	2229.8565007159837	208.66344612489678	213.92997576030803						4.200000000000021	7.233333333333343	5.566666666666682						England	Central Region	Bavaria						United Kingdom	Uganda	Germany						42.97107042643587	49.21143939158091	49.340854311449206						57.882352941176464	28.308823433242935	32.97479196756828					
Fuzhou, Fujian, China	820.3	306.9	7.7	0.3	2	1127.2533747691746	513.3834276709167							7.400000000000009	8.066666666666674							Colorado	Colorado							United States	United States							29.61869653330977	27.783733774353028							108.54901953304517	114.4862742704504						
Arequipa, Peru	819.7	0	8.4	0	1	819.738994445847								8.433333333333339								North Carolina								United States								-11.246592174393179								-76.94117647058823							
Alīgarh, Uttar Pradesh, India	780.4	0	9.8	0	1	780.4759628406343								9.866666666666667								Indiana								United States								34.87387896410701								77.21408462524414							
Bareilly, Uttar Pradesh, India	746.8	0	7.8	0	1	746.8497450843033								7.866666666666674								California								United States								23.22604167993746								74.58823529411765							
Vitória, Espírito Santo, Brazil	722.7	0	6.8	0	1	722.7362205435235								6.833333333333345								Trentino-Alto Adige								Italy								-14.273651737654738								-42.854822067490346							
Baton Rouge, Louisiana, United States	687	514.4	5.7	0.4	3	522.9752234490707	155.18068988411073	1382.9413618199017						5.366666666666683	6.433333333333346	5.400000000000016						England	England	England						United Kingdom	United Kingdom	United Kingdom						35.131740032331265	30.77417662872302	37.77018017344406						-90.70889897871523	-92.70588235294117	-103.29411764705883					
Callao, Peru	603.9	203.7	6.9	0.2	3	503.2020248822216	888.0833057661856	420.6150437933441						7.233333333333343	6.766666666666678	6.766666666666678						Bavaria	Georgia	Bavaria						Germany	United States	Germany						-7.795968116896632	-4.60245459158241	-8.290412059544344						-78.64527520436441	-80	-77.2904411764706					
Dar es Salaam, Tanzania	574.1	488	6.1	0.5	2	86.17478191027463	1062.2120514013866							6.733333333333345	5.600000000000016							Central Region	Bavaria							Uganda	Germany							-7.54831263512477	-15.910952515130605							39.06512595425133	36.33613650538342						
Amrāvati, Mahārāshtra, India	551.7	0	6.7	0	1	551.795169906369								6.733333333333345								California								United States								25.723536999703615								79.24754894480986							
Changde, Hunan, China	514.4	0	7.1	0	1	514.4221735217247								7.166666666666677								Trentino-Alto Adige								Italy								33.12689943886683								114.19032157136058							
San Pedro Sula, Honduras	509.7	0	8.1	0	1	509.74600850741575								8.13333333333334								California								United States								12.48500488414267								-84.47058823529412							
Mecca, Saudi Arabia	474.4	0	7.6	0	1	474.49182547063054								7.633333333333342								Trentino-Alto Adige								Italy								25.494765743338768								38.40372786411021							
Johor Bahru, Malaysia	465.8	339	5.8	0.7	2	804.9090553722781	126.81773270489656							5.133333333333351	6.533333333333346							England	Central Region							United Kingdom	Uganda							7.3855401447323	2.5223329777191505							99.52941176470586	103.26680662652029						
Douala, Cameroon	458.5	0	6	1.4	1	458.5677424607406								6.000000000000014								California								United States								2.1401761835547277								13.3651960036334							
Nice, France	457.1	260.3	6.2	0.8	6	530.1285912290481	723.698053865811	163.38325782283184	323.1	168.1	834.6			6.433333333333346	4.8000000000000185	5.833333333333348	6.3	7.4	6.7			England	England	England	England	England	England			United Kingdom	United Kingdom	United Kingdom	United Kingdom	United Kingdom	United Kingdom			46.96406867712458	45.829062059846535	44.33419752164472	44.607	43.826	49.168			2.297794117647072	-1.411764705882348	5.411764705882348	3.408	5.176	-0.235		
Namangan, Uzbekistan	454.2	37.4	5.1	1.3	2	491.7855591360251	416.7920208745067							3.800000000000022	6.466666666666679							England	Central Region							United Kingdom	Uganda							37.02365375223545	39.89121288042361							69.1764705882353	66.96428561811689						
San Jose, California, United States	452.9	264.6	6.5	0.2	2	188.32623712644366	717.6279051155749							6.766666666666678	6.26666666666668							Central Region	Bavaria							Uganda	Germany							36.182800428028976	32.741148040005804							-120.26260513818565	-116.26890551142331						
Pekanbaru, Riau, Indonesia	439.7	0	8.3	5.3	1	439.78518939303706								8.300000000000006								North Carolina								United States								-2.4870187635703194								103.94117647058823							
Bekasi, Jawa Barat, Indonesia	433	0	7.8	0	1	433.04783766225034								7.866666666666674								California								United States								-6.945463895893395								110.8235294117647							
Changsha, Hunan, China	432.2	40.7	7	0.3	2	473.0407039067375	391.49881018088416							7.466666666666676	6.700000000000012							Central Region	Bavaria							Uganda	Germany							23.99481306827925	29.574814529696035							113.68697469374712	116.6722709591649						
Vaduz, Liechtenstein	428.8	451.7	5.5	1.7	5	424.4397932471943	1276.3411270183758	351.83899253619154	85.3	6.5				6.566666666666679	2.8000000000000256	4.40000000000002	7.4	6.6				England	England	England	Central Region	Bavaria				United Kingdom	United Kingdom	United Kingdom	Uganda	Germany				49.893094651826786	53.011921792421106	49.63016564493778	46.503	47.099				5.533088235294116	24.941176470588232	6.588235294117652	10.157	9.445			
Tokyo, Japan	416.1	82.9	6.4	0.9	3	299.3772243841647	483.6022536910889	465.59972885454454						7.033333333333344	7.20000000000001	5.100000000000017						England	England	England						United Kingdom	United Kingdom	United Kingdom						35.869165394492	39.972028395556926	37.02177338512054						136.4404222882531	138.8235294117647	134.8235294117647					
Antananarivo, Madagascar	407.5	0	8.3	5.3	1	407.57067423372024								8.300000000000006								California								United States								-15.257400608453377								47.29411764705881							
Kōbe, Japan	386.7	0	5.7	0	1	386.78541426409913								5.766666666666682								Trentino-Alto Adige								Italy								36.056985195507885								139.08772239215398							
La Paz, Bolivia	377.1	0	8.5	0	1	377.1340817444007								8.533333333333339								North Carolina								United States								-18.356920745757826								-65.17647058823529							
Medina, Saudi Arabia	371	122.2	6.4	0.9	2	493.3589440436713	248.81932017493688							5.466666666666683	7.333333333333343							Colorado	Colorado							United States	United States							27.96763078723083	24.828505579680293							42.666666591868676	42.01568603515625						
Accra, Ghana	363.1	0	8	0	1	363.12544002646587								8.066666666666674								California								United States								7.850072263330805								2.117647058823536							
Topeka, Kansas, United States	361.9	117	7	0.2	2	478.96403071532364	244.8959949059181							6.800000000000011	7.366666666666676							England	Central Region							United Kingdom	Uganda							34.73405539510018	37.79510910283951							-96	-93.37184883566464						
Surabaya, Jawa Timur, Indonesia	351	0	6.2	1.3	1	351.06102432727715								6.2000000000000135								Trentino-Alto Adige								Italy								-6.468144576089668								115.83190843866561							
Aguascalientes, Aguascalientes, Mexico	320.3	110.8	6.6	0.4	3	163.87516433520977	407.99929847351666	389.1						6.066666666666681	7.233333333333343	6.7						England	Central Region	Trentino-Alto Adige						United Kingdom	Uganda	Italy						23.228205968225346	21.199633337686507	18.648						-101.6470588235294	-98.41386564238734	-100.857					
Chittagong, Bangladesh	320	112.1	6.1	0.8	2	432.1684566592542	207.96200454239283							6.966666666666677	5.23333333333335							Colorado	Colorado							United States	United States							25.443257976689054	23.539488101732875							89.25490188598633	90.25098015280332						
Fort Worth, Texas, United States	317.9	0	8.2	0	1	317.9038345316581								8.266666666666673								California								United States								30.163182453080594								-96							
Alexandria, Egypt	311.2	143.8	7.4	0.1	2	455.1437814382244	167.43294663352364							7.266666666666676	7.633333333333342							Colorado	Colorado							United States	United States							27.550816303511315	30.863168784662122							32.078431297751024	31.66274485868567						
Chennai, Tamil Nādu, India	288.8	57.5	5.9	0.2	2	231.3367431115412	346.43267567165026							5.666666666666682	6.16666666666668							Central Region	Bavaria							Uganda	Germany							14.804137438769928	14.344879230263802							79.0651259542513	77.34453986672793						
Little Rock, Arkansas, United States	263.4	38.2	6.4	0.2	2	301.7040597445981	225.11410446951788							6.133333333333347	6.6666666666666785							Colorado	Colorado							United States	United States							32.04512861212549	33.45469918881304							-92.86274517283721	-90.45490220013787						
Karachi, Pakistan	261.6	0	8.2	0	1	261.67823946752804								8.23333333333334								North Carolina								United States								24.41100745430681								69.52941176470588							
Turin, Italy	257.1	7.8	6.6	1.2	2	249.30145144000946	264.9691632452465							5.366666666666683	7.9000000000000075							Colorado	Colorado							United States	United States							46.210657865409225	44.576272373023976							10.431372474221632	10.956862505744482						
Victoria, British Columbia, Canada	239.7	181.9	6.3	1.7	3	481.72423344027965	194.7586153608525	42.9						3.800000000000022	7.666666666666675	7.5						Colorado	Colorado	California						United States	United States	United States						51.620363382816585	50.15209919482107	48.704						-127.92156870224898	-123.86666690602021	-123.764					
Canberra, Australian Capital Territory, Australia	239.4	0	7.6	0	1	239.44314197475344								7.633333333333342								California								United States								-37.11083417377404								147.71813718010395							
Hong Kong, Hong Kong	220.4	57.6	6.4	0	2	278.089622068033	162.76505318374547							6.466666666666679	6.466666666666679							England	Central Region							United Kingdom	Uganda							22.794663397725877	22.759532259917336							111.52941176470586	112.67857133240261						
Caracas, Venezuela	165.5	0	8	7.1	1	165.56576551761876								8.000000000000007								California								United States								9.014883406824948								-66.82352941176471							
Reykjavík, Iceland	164.5	41.3	7.1	0.5	2	205.94637986594174	123.15391609110951							6.566666666666679	7.666666666666675							Colorado	Colorado							United States	United States							64.92802333104581	63.71552998377713							-18.039215761072484	-19.63137278837317						
Homs, Syria	163.8	46.2	6	0.6	2	117.62559609927477	210.10972786213395							6.700000000000012	5.300000000000017							Central Region	Bavaria							Uganda	Germany							35.637804462848166	36.07126918698266							37.3844536853438	38.35294322807249						
Belém, Pará, Brazil	163.2	0	8.5	0	1	163.2032702345653								8.533333333333339								North Carolina								United States								-1.0157940483290504								-49.882352941176464							
Kyōto, Japan	154.2	42.7	7.3	0	2	111.48116267136896	197.05590126393787							7.366666666666676	7.30000000000001							Central Region	Bavaria							Uganda	Germany							35.08906646105062	36.07126918698266							134.52731082820094	137.51260709361873						
Bremen, Germany	139.8	0	8.3	0	1	139.81607179115292								8.366666666666672								California								United States								52.00861633069617								9.882352941176464							
Barcelona, Spain	137.3	13.8	7.5	0.2	2	151.15246769130172	123.53635030730062							7.366666666666676	7.766666666666675							Central Region	Bavaria							Uganda	Germany							41.67431430343108	41.31889564126571							0.40966376937737436	0.7058844045430703						
Dhaka, Bangladesh	133.6	0	8.2	7.1	1	133.68781614216297								8.200000000000006								North Carolina								United States								22.520820107613833								90.41176470588238							
Rotterdam, Netherlands	133.4	70.1	4.9	2.2	4	232.48455354181755	36.64392407421734	148.04296482589365	116.5					5.833333333333348	6.36666666666668	6.566666666666679	1.2					England	Central Region	Bavaria	California					United Kingdom	Uganda	Germany	United States					53.57638871186326	52.19332696916054	52.51995715699582	52.962					6.588235294117652	4.779411668537051	6.420170118828764	4.659				
Łódź, Poland	129.4	0	6.4	1.2	1	129.47942210850363								6.400000000000013								California								United States								50.78211998021391								20.42401953304514							
Hamburg, Germany	127.9	102	6	1.9	8	343.38882630022516	42.95234075242626	236.4254739743304	117.4	50.7	92.9	114.3	25.5	7.033333333333344	6.066666666666681	6.433333333333346	6.7	7.8	1	6.8	6.9	England	England	England	England	Central Region	Bavaria	Central Region	Bavaria	United Kingdom	United Kingdom	United Kingdom	United Kingdom	Uganda	Germany	Uganda	Germany	50.507404860183385	53.715993221233695	51.42498101024808	53.436	53.212	52.724	52.807	53.331	9.140271458690506	9.411764705882348	10.117647058823536	8.235	9.485	9.781	8.813	10.117
Lisbon, Lisboa, Portugal	115.9	43.9	7.3	0	2	159.92141913630815	72.06880299880758							7.366666666666676	7.30000000000001							England	Central Region							United Kingdom	Uganda							40.152276900735615	38.85088116501226							-8.941176470588232	-8.329832028941922						
Allentown, Pennsylvania, United States	107.5	0	8.4	5.3	1	107.54613186234344								8.400000000000006								North Carolina								United States								40.2404244868404								-74.29411764705883							
Ankara, Turkey	107.1	32.7	7.1	0.4	2	74.37845205366523	139.82840043116343							7.6000000000000085	6.766666666666678							Central Region	Bavaria							Uganda	Germany							39.372984684644166	40.30032361829409							33.350840239965606	31.294119698660722						
Kryvyy Rih, Ukraine	103.6	64.4	6.8	1.2	2	168.07733296118957	39.127706934101376							5.500000000000016	8.100000000000007							Colorado	Colorado							United States	United States							49.0660731687491	47.834717480707596							31.84313718010398	32.839215446920946						
Florence, Italy	95.3	0	8.5	5.3	1	95.34913468586838								8.500000000000005								North Carolina								United States								43.52686478369668								10.117647058823536							
Bhopal, Madhya Pradesh, India	77.1	0	7.3	9.7	1	77.11337071989698								7.30000000000001								Trentino-Alto Adige								Italy								22.99809763090613								76.70742143456164							
Andorra la Vella, Andorra	68.9	0	8.2	0	1	68.9								8.2								North Carolina								United States								42.667								0.705							
Lobamba, Swaziland	64.3	0	6.7	1.1	1	64.30662487133615								6.700000000000012								Trentino-Alto Adige								Italy								-26.56245803366298								31.837380394889976							
Kirkuk, Iraq	57.5	0	8	0	1	57.54374279428185								8.03333333333334								North Carolina								United States								35.83750372376977								43.94117647058823							
Katowice, Poland	51.1	0	6.3	0	1	51.1383646453278								6.333333333333346								Trentino-Alto Adige								Italy								49.8012830191619								18.978283267666967							
Naples, Italy	48.8	0	7.1	0	1	48.86517084748874								7.1333333333333435								Trentino-Alto Adige								Italy								41.18796438815375								14.600718288186812							
Madrid, Spain	48.6	24.2	7.2	9.7	2	72.87741449768565	24.358846626006972							7.20000000000001	7.20000000000001							Colorado	Colorado							United States	United States							40.030360981473116	40.41099582891935							-4.392156937543092	-3.396078670726098						
Monaco, Monaco	47.7	0	7.7	7.9	1	47.78478515288765								7.700000000000008								California								United States								43.82495213049853								6.823529411764696							
Daejeon, Korea, South	32.3	11	7.3	0.2	2	43.38978300697228	21.36623931733659							7.20000000000001	7.566666666666675							Colorado	Colorado							United States	United States							36.13922579895475	36.35132365792384							127.84313718010395	127.66274485868564						
