Time,Num Clicks
1578938653,10
1579046457,11
1579219344,12
1579276029,13
1579362425,14
1579737681,16
1580163341,18
1580342414,20
1580400058,24
1580428860,25
1580515212,26
1580774411,31
1580832061,33
1580926191,37
1581025834,38
1581062446,40
1581264058,41
1581897660,42
1581955244,54
1582012847,57
1582329644,59
1582444847,61
1582473631,62
1582485175,9073
1582485633,131386
1582502445,132274
1582531231,132355
1582560044,132366
1582577800,133748
1582588813,134356
1582617646,134733
1582704049,137623
1582732859,138464
1582790445,140213
1582819246,140283
1582848018,141746
1582934429,143393
1582963249,143716
1582992061,144460
1583020864,145407
1583049633,146039
1583078459,146172
1583107261,146189
1583136049,146955
1583164865,147146
1583222447,147665
1583251261,148846
1583280039,150306
1583308848,150683
1583337662,151479
1583366425,152378
1583395248,152560
1583424047,153510
1583452827,154522
1583454262,155152
1583520700,155184
1583539212,155911
1583596859,156393
1583625660,156895
1583654445,157087
1583679658,157217
1583708458,158585
1583737245,158897
1583766058,159758
1583881262,163247
1583910030,163499
1583938859,164651
1583967660,165743
1583996446,166531
1584025259,167482
1584054012,168722
1584062431,169040
1584082830,169359
1584111645,169448
1584140460,169741
1584169211,170040
1584198010,170280
1584226810,171455
1584255611,173000
1584284411,173542
1584313212,174896
1584342047,175716
1584399662,176900
1584428447,177422
1584457260,177709
1584486014,179185
1584514815,179536
1584543614,179914
1584572415,180151
1584601249,180513
1584630059,180970
1584642674,181212
1584644153,181228
1584658819,181646
1584661755,181799
1584716416,182425
1584745229,184245
1584774023,184563
1584802818,184587
1584831618,185739
1584860420,186658
1584889217,186821
1584918018,188816
1584946819,189150
1584975617,189151
1585004435,190671
1585033217,191002
1585062019,191998
1585075715,193424
1585090821,195367
1585110279,196237
1585119653,196304
1585148462,196523
1585161830,197015
1585176584,198941
1585176633,198944
1585177220,198994
1585206048,200307
1585234862,200741
1585263651,201221
1585292447,201581
1585321262,201804
1585350066,203575
1585378851,204611
1585407662,204995
1585436462,208469
1585441434,208908
1585465249,210104
1585494062,210513
1585505011,210722
1585505794,210728
1585506672,210729
1585506691,210730
1585506896,210733
1585507476,210735
1585508044,210736
1585513680,210740
1585518317,210926
1585522831,211437
1585538447,211613
1585551649,211695
1585580462,212068
1585588749,212175
1585609263,213654
1585622440,214033
1585638029,214119
1585666817,214596
1585677513,215449
1585695628,216650
1585724420,216945
1585753217,217431
1585756702,217630
1585767742,218306
1585770828,218677
1585782016,219381
1585785547,219569
1585810832,219887
1585839616,220567
1585868415,221254
1585897222,221602
1585926015,222467
1585948974,224019
1585954821,224423
1585983613,224623
1586012412,225670
1586041224,227215
1586070017,228193
1586098812,228643
1586116310,229043
1586126301,230181
1586127620,230215
1586156416,230750
1586185214,230946
1586214015,232638
1586242813,233663
1586271612,233792
1586300414,234663
1586329214,235357
1586358014,236138
1586366475,237462
1586386817,238339
1586415618,238874
1586444413,239185
1586466769,241761
1586473222,244219
1586475794,245479
1586502033,250502
1586530826,256124
1586559370,262788
1586559614,262814
1586588429,266309
1586617218,268302
1586623001,269235
1586646020,272767
1586651967,274002
1586705661,277521
1586732442,280451
1586888939,291672
1586905271,294226
1586934082,296654
1586962874,298415
1586982996,300392
1586991656,301969
1586998623,302460
1587020460,304276
1587049274,305532
1587070750,308611
1587078139,310042
1587106875,311740
1587135672,314922
1587164474,320833
1587222075,326166
1587250878,331631
1587262544,333425
1587279664,334390
1587337273,338214
1587366071,338793
1587394875,340727
1587402201,340920
1587423647,342691
1587452462,343367
1587481273,345038
1587538820,348064
1587567619,349060
1587574050,350021
1587596422,351008
1587625218,351532
1587654017,352432
1587682820,354823
1587711618,356030
1587740417,357429
1587839946,363544
1587849113,364906
1587855674,365198
1587884418,366056
1587913219,370470
1587942018,374091
1587970822,375372
1587999620,377691
1588005843,378844
1588028420,381873
1588057226,384495
1588086021,388719
1588094724,389478
1588114851,393229
1588143680,394337
1588201284,401965
1588230082,402823
1588258889,405870
1588268862,406335
1588287638,409594
1588316460,410451
1588345241,412755
1588371976,416665
1588374040,416894
1588460458,423401
1588489278,424752
1588546854,430093
1588575683,431251
1588604479,432087
1588633280,435094
1588662076,436476
1588690881,437500
1588714279,441252
1588721352,441964
1588722271,441997
1588724668,442081
1588734873,442591
1588735889,442597
1588736810,442617
1588748494,442759
1588777295,444068
1588790992,445202
1588806054,447184
1588834870,447729
1588863651,450524
1588872137,451057
1588964224,455523
1589047169,459192
1589047274,459197
1589065317,461471
1589094099,462031
1589122895,462942
1589151696,465306
1589180485,465705
1589209296,466445
1589238099,469218
1589266907,469226
1589324478,471730
1589353298,471889
1589382099,472644
1589410900,475836
1589439686,476140
1589497313,480605
1589516454,482687
1589520329,483073
1589526103,483263
1589554917,488257
1589575345,492842
1589583672,494807
1589663281,500702
1589670118,502137
1589727706,505824
1589756496,509492
1589814104,513604
1589842903,515260
1589871709,516809
1589900507,520480
1589905945,520598
1589929296,522097
1589986910,526376
1590015706,528397
1590044508,529781
1590073307,533427
1590130919,537249
1590204374,537250
1590246091,540293
1590274908,543085
1590303678,544394
1590332491,545272
1590426128,555124
1590447696,559651
1590476501,561290
1590505280,563416
1590534063,565678
1590562872,566457
1590591641,569664
1590620485,570611
1590649271,571393
1590690366,574022
1590690558,574024
1590691605,574073
1590695143,574998
1590706846,575979
1590735671,576274
1590764447,577391
1590779137,577907
1590793248,578759
1590822083,579426
1590850846,580484
1590908528,584244
1590937301,585440
1590949351,585986
1590966051,586888
1590994869,587697
1591023651,589664
1591052457,593846
1591081316,594829
1591110053,596301
1591138861,596749
1591167726,596832
1591196471,598928
1591225301,600371
1591254131,600420
1591282864,601936
1591340536,604328
1591369264,605313
1591398075,608018
1591426929,609178
1591455666,609943
1591570901,614688
1591599691,614904
1591628501,616342
1591657348,616990
1591686161,617436
1591714899,618247
1591743691,618972
1591772563,619140
1591801301,621844
1591830106,622470
1591858985,622595
1591887705,623897
1591916458,624527
1591945302,624785
1591974103,626366
1592002857,626582
1592019660,627177
1592031742,627479
1592089312,629137
1592118160,629486
1592146863,630210
1592175662,631082
1592204565,631394
1592233259,635581
1592262064,636889
1592290966,637935
1592328625,642140
1592348459,642865
1592377369,643172
1592406062,645987
1592434861,646936
1592463756,647502
1592492459,652348
1592521267,653427
1592550144,654248
1592578859,656000
1592670825,656700
1592694059,657777
1592767030,659532
1592780478,659812
1592809343,659966
1592866938,661848
1592895762,661870
1592924460,663040
1592953278,663661
1592982162,664525
1593010863,666692
1593039667,667074
1593068557,668366
1593126067,672996
1593154894,673186
1593183704,674486
1593212577,674953
1593298904,677254
1593327803,678143
1593356508,679007
1593471710,681578
1593500497,682500
1593529308,683885
1593558107,684363
1593644508,685919
1593673413,686658
1593702109,688374
1593730864,689281
1593903714,693409
1594076481,697037
1594105399,697186
1594162909,698829
1594191698,699497
1594223585,701143
1594249352,702410
1594278221,702687
1594306879,704776
1594335712,705552
1594364651,706364
1594393315,707321
1594422116,708494
1594451026,708666
1594479712,709062
1594508514,709336
1594537301,709716
1594594959,710678
1594623815,711537
1594652515,713193
1594681301,716914
1594710225,717472
1594738915,718854
1594767713,720814
1594796630,721971
1594825314,724250
1594854111,725486
1594882869,726307
1594911670,729567
1594940468,731361
1594969387,732307
1594998071,734122
1595026947,736349
1595055780,737172
1595084466,737788
1595113287,738310
1595142070,738326
1595170868,738914
1595199682,739540
1595228575,740153
1595257290,741826
1595286086,742921
1595372494,745513
1595401382,746199
1595430081,747028
1595458884,748194
1595487670,748574
1595516464,749417
1595545272,750304
1595574191,751157
1595602869,751734
1595631682,753162
1595660581,753426
1595689267,753442
1595718134,754053
1595746989,754493
1595775682,754888
1595804470,755194
1595833277,755331
1595862079,756380
1595890892,757595
1595977287,759463
1596006191,760116
1596034875,760605
1596063677,761557
1596092475,761940
1596121275,762905
1596150109,763948
1596178878,764465
1596207674,765053
1596236474,766010
1596524498,772980
1596553279,774522
1596582105,775546
1596610960,776160
1596639740,777290
1596697508,779840
1596726092,781269
1596754922,782586
1596783889,782883
1596812498,783939
1596841311,785710
1596927731,787906
1596956530,788002
1596985333,788787
1597014172,789873
1597043100,790255
1597071699,790953
1597100496,792285
1597129488,792319
1597158095,793544
1597186961,794768
1597215899,794776
1597244495,795497
1597302142,798976
1597330909,799455
1597359709,801029
1597388549,801556
1597417311,801989
1597446132,802977
1597532559,804854
1597618955,805441
1597705317,807510
1597734348,808239
1597762911,808640
1597791719,809974
1597820545,809996
1597849343,810286
1597878154,812679
1597906976,813281
1597935755,813909
1597964565,815659
1597993564,815834
1598022158,816137
1598050994,818156
1598137412,819739
1598166150,819858
1598194915,820251
1598223718,821349
1598252761,821446
1598281317,821750
1598310152,822759
1598339167,822893
1598367716,823427
1598396533,825491
1598425381,825539
1598454124,825803
1598482933,827255
1598512113,827410
1598540530,828082
1598569329,830903
1598598392,831023
1598626991,831297
1598655952,832813
1598685450,832831
1598713366,832861
1598771241,834745
1598828638,835928
1598857397,835995
1598886166,836450
1598943908,838810
1598972524,839303
1599001342,841832
1599030308,841953
1599058942,842349
1599087735,844014
1599116720,844082
1599145348,844356
1599174126,845698
1599231735,846143
1599260544,847171
1599318150,847395
1599433324,848898
1599519734,850345
1599606125,853283
1599634913,853289
1599663721,853310
1599692557,854715
1599721502,855020
1599750128,855559
1599778941,857081
1599807909,857157
1599836512,857811
1599865334,858922
1599951727,858924
1599980707,858968
1600009332,859022
1600038109,860147
1600095731,860161
1600124512,861236
1600153505,861257
1600182127,861378
1600210932,862785
1600239914,862830
1600268518,862996
1600297334,863717
1600326130,863875
1600354918,863912
1600383729,864687
1600412718,864952
1600441326,865154
1600546546,866861
1600556493,866866
1600585493,867059
1600614085,867092
1600642891,867835
1600671908,868043
1600700489,868440
1600729289,868606
1600786891,868990
1600815718,869361
1600873285,869830
1600930897,870727
1600959694,871225
1600988549,873095
1601017306,873474
1601046101,873598
1601074894,874965
1601334099,877968
1601363096,878133
1601391697,878877
1601420491,880097
1601449297,880210
1601506893,880903
1601535919,881092
1601564491,881376
1601593292,882966
1601622097,882972
1601679701,884170
1601708501,884203
1601737299,884310
1601881539,886883
1601910139,887348
1601938936,888394
1601967938,888416
1601996527,889073
1602025319,890514
1602054331,891099
1602082932,892210
1602111733,894112
1602198120,895005
1602227134,895062
1602284525,897853
1602342094,897886
1602370908,898020
1602400041,898118
1602428493,898139
1602457297,898506
1602486315,898512
1602514896,898648
1602543728,899226
1602572735,899674
1602601334,899700
1602630117,900576
1602659137,900707
1602687730,901494
1602716531,902042
1602745549,902151
1602774135,902354
1602802950,904019
1602831944,905753
1602860548,908882
